1500 - Result: collision
Goal: [8.359759715026023, -19.821399698649202, -26.116954669293722, 38.90587569455028, 12.70710435771207, -169.9332546260096]
Steps: 157
Start: [36.20094417483834, 4.313033151358094, -9.397652247542087, -62.33129000081483, 56.69792574877914, -57.89868192877634]
End: [34.94957263716325, 2.511811444797555, -16.55808474778634, -71.98790032357867, -11.144448127927149, -11.684000214554658]
Start distance: 40.5mm
End distance: 36.0mm

Step 129 (dist=69.0mm): source: q_store, act_name: free_forward_small
Step 130 (dist=69.0mm): source: q_store, act_name: free_forward_small
Step 131 (dist=69.0mm): source: q_store, act_name: free_forward_small
Step 132 (dist=69.1mm): source: q_store, act_name: turn_left_big
Step 133 (dist=69.1mm): source: q_store, act_name: look_up_big
Step 134 (dist=69.1mm): source: sac, act_name: free_backward
Step 135 (dist=69.5mm): source: sac, act_name: move_tangentially
Step 136 (dist=65.0mm): source: sac, act_name: move_tangentially
Step 137 (dist=63.6mm): source: q_store, act_name: move_tangentially
Step 138 (dist=62.5mm): source: q_store, act_name: move_tangentially
Step 139 (dist=61.4mm): source: q_store, act_name: move_tangentially
Step 140 (dist=60.5mm): source: q_store, act_name: move_tangentially
Step 141 (dist=59.7mm): source: q_store, act_name: move_tangentially
Step 142 (dist=59.0mm): source: q_store, act_name: move_tangentially
Step 143 (dist=58.6mm): source: q_store, act_name: move_tangentially
Step 144 (dist=58.2mm): source: q_store, act_name: detach
Step 145 (dist=58.2mm): source: q_store, act_name: free_forward_small
Step 146 (dist=56.2mm): source: sac, act_name: move_tangentially
Step 147 (dist=55.8mm): source: q_store, act_name: detach
Step 148 (dist=55.8mm): source: q_store, act_name: free_forward_small
Step 149 (dist=53.9mm): source: q_store, act_name: free_forward_small
Step 150 (dist=52.0mm): source: sac, act_name: move_tangentially
Step 151 (dist=53.0mm): source: q_store, act_name: detach
Step 152 (dist=52.8mm): source: q_store, act_name: move_tangentially
Step 153 (dist=49.9mm): source: q_store, act_name: detach
Step 154 (dist=49.6mm): source: sac, act_name: free_forward
Step 155 (dist=42.4mm): source: sac, act_name: turn_right_big
Step 156 (dist=42.4mm): source: q_store, act_name: free_forward
Step 157 (dist=36.0mm): source: q_store, act_name: free_forward
