Result: timeout
Goal: [-15.471380173762329, -20.42520851209839, -29.54818483218696, -153.9456386634831, 28.832346174415413, 98.83037039910437]
Steps: 500
Start: [27.35565360028247, -2.6403820546011394, -20.355117525567778, 14.574132287847647, 47.799495195125274, -169.09796412002618]
End: [-3.8583298641068016, -11.89254331898542, -28.263158798219774, 0.0, 0.0, 0.0]
Start distance: 47.3mm
End distance: 14.5mm

Step 230 (dist=31.4mm): source: sac, act_name: move_tangentially
Step 231 (dist=33.5mm): source: q_store, act_name: move_tangentially
Step 232 (dist=30.5mm): source: sac, act_name: move_tangentially
Step 233 (dist=28.5mm): source: sac, act_name: move_tangentially
Step 234 (dist=31.4mm): source: sac, act_name: move_tangentially
Step 235 (dist=33.8mm): source: sac, act_name: move_tangentially
Step 236 (dist=31.4mm): source: sac, act_name: move_tangentially
Step 237 (dist=31.4mm): source: sac, act_name: move_tangentially
Step 238 (dist=28.4mm): source: q_store, act_name: move_tangentially
Step 239 (dist=25.4mm): source: sac, act_name: move_tangentially
Step 240 (dist=27.6mm): source: q_store, act_name: move_tangentially
Step 241 (dist=24.6mm): source: sac, act_name: move_tangentially
Step 242 (dist=27.1mm): source: sac, act_name: move_tangentially
Step 243 (dist=26.7mm): source: q_store, act_name: move_tangentially
Step 244 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 245 (dist=23.6mm): source: sac, act_name: move_tangentially
Step 246 (dist=21.7mm): source: sac, act_name: move_tangentially
Step 247 (dist=24.7mm): source: sac, act_name: move_tangentially
Step 248 (dist=23.0mm): source: sac, act_name: move_tangentially
Step 249 (dist=25.6mm): source: sac, act_name: move_tangentially
Step 250 (dist=24.9mm): source: sac, act_name: move_tangentially
Step 251 (dist=25.6mm): source: sac, act_name: move_tangentially
Step 252 (dist=27.1mm): source: sac, act_name: move_tangentially
Step 253 (dist=26.7mm): source: sac, act_name: move_tangentially
Step 254 (dist=24.5mm): source: q_store, act_name: move_tangentially
Step 255 (dist=21.5mm): source: sac, act_name: move_tangentially
Step 256 (dist=23.7mm): source: q_store, act_name: move_tangentially
Step 257 (dist=20.7mm): source: sac, act_name: move_tangentially
Step 258 (dist=23.7mm): source: q_store, act_name: move_tangentially
Step 259 (dist=20.7mm): source: sac, act_name: move_tangentially
Step 260 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 261 (dist=20.7mm): source: sac, act_name: move_tangentially
Step 262 (dist=22.7mm): source: q_store, act_name: move_tangentially
Step 263 (dist=19.7mm): source: sac, act_name: move_tangentially
Step 264 (dist=17.8mm): source: sac, act_name: move_tangentially
Step 265 (dist=16.1mm): source: sac, act_name: move_tangentially
Step 266 (dist=19.0mm): source: sac, act_name: move_tangentially
Step 267 (dist=19.9mm): source: sac, act_name: move_tangentially
Step 268 (dist=21.2mm): source: sac, act_name: move_tangentially
Step 269 (dist=18.7mm): source: sac, act_name: move_tangentially
Step 270 (dist=15.8mm): source: sac, act_name: move_tangentially
Step 271 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 272 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 273 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 274 (dist=17.6mm): source: sac, act_name: move_tangentially
Step 275 (dist=19.9mm): source: sac, act_name: move_tangentially
Step 276 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 277 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 278 (dist=20.5mm): source: sac, act_name: move_tangentially
Step 279 (dist=18.6mm): source: q_store, act_name: move_tangentially
Step 280 (dist=16.2mm): source: sac, act_name: move_tangentially
Step 281 (dist=18.6mm): source: q_store, act_name: move_tangentially
Step 282 (dist=16.2mm): source: sac, act_name: move_tangentially
Step 283 (dist=18.4mm): source: sac, act_name: move_tangentially
Step 284 (dist=18.8mm): source: sac, act_name: move_tangentially
Step 285 (dist=20.4mm): source: sac, act_name: move_tangentially
Step 286 (dist=20.9mm): source: sac, act_name: move_tangentially
Step 287 (dist=18.0mm): source: sac, act_name: move_tangentially
Step 288 (dist=16.9mm): source: sac, act_name: move_tangentially
Step 289 (dist=18.7mm): source: sac, act_name: move_tangentially
Step 290 (dist=16.5mm): source: sac, act_name: move_tangentially
Step 291 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 292 (dist=15.3mm): source: q_store, act_name: move_tangentially
Step 293 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 294 (dist=12.4mm): source: sac, act_name: move_tangentially
Step 295 (dist=11.3mm): source: sac, act_name: move_tangentially
Step 296 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 297 (dist=15.3mm): source: q_store, act_name: move_tangentially
Step 298 (dist=14.0mm): source: sac, act_name: move_tangentially
Step 299 (dist=11.4mm): source: sac, act_name: move_tangentially
Step 300 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 301 (dist=11.9mm): source: sac, act_name: move_tangentially
Step 302 (dist=10.8mm): source: sac, act_name: move_tangentially
Step 303 (dist=12.6mm): source: sac, act_name: move_tangentially
Step 304 (dist=14.9mm): source: sac, act_name: move_tangentially
Step 305 (dist=12.6mm): source: sac, act_name: move_tangentially
Step 306 (dist=12.9mm): source: sac, act_name: move_tangentially
Step 307 (dist=11.5mm): source: sac, act_name: move_tangentially
Step 308 (dist=12.9mm): source: sac, act_name: move_tangentially
Step 309 (dist=10.5mm): source: sac, act_name: move_tangentially
Step 310 (dist=11.1mm): source: sac, act_name: move_tangentially
Step 311 (dist=8.5mm): source: sac, act_name: move_tangentially
Step 312 (dist=8.6mm): source: sac, act_name: move_tangentially
Step 313 (dist=11.2mm): source: sac, act_name: move_tangentially
Step 314 (dist=13.9mm): source: q_store, act_name: move_tangentially
Step 315 (dist=11.3mm): source: sac, act_name: move_tangentially
Step 316 (dist=12.3mm): source: sac, act_name: move_tangentially
Step 317 (dist=9.8mm): source: sac, act_name: move_tangentially
Step 318 (dist=11.7mm): source: sac, act_name: move_tangentially
Step 319 (dist=14.7mm): source: q_store, act_name: move_tangentially
Step 320 (dist=11.7mm): source: sac, act_name: move_tangentially
Step 321 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 322 (dist=16.6mm): source: q_store, act_name: move_tangentially
Step 323 (dist=13.8mm): source: sac, act_name: move_tangentially
Step 324 (dist=11.0mm): source: sac, act_name: move_tangentially
