Result: timeout
Goal: [5.2769172608558685, 27.7823414247585, -3.9020351155439474, 110.34762172270342, 2.76544752652292, -7.412395643009103]
Steps: 500
Start: [23.270821212331548, -2.7289679750133184, -31.27481114558116, -171.73871055763965, 37.31996258254273, -174.96943177525307]
End: [17.852466658745627, 94.28062761829952, -43.02013054337861, -60.0, 0.0, 0.0]
Start distance: 44.8mm
End distance: 78.2mm

Step 266 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 267 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 268 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 269 (dist=11.2mm): source: q_store, act_name: move_tangentially
Step 270 (dist=9.0mm): source: q_store, act_name: move_tangentially
Step 271 (dist=10.6mm): source: q_store, act_name: move_tangentially
Step 272 (dist=8.7mm): source: q_store, act_name: move_tangentially
Step 273 (dist=7.4mm): source: q_store, act_name: move_tangentially
Step 274 (dist=6.8mm): source: q_store, act_name: move_tangentially
Step 275 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 276 (dist=6.9mm): source: q_store, act_name: move_tangentially
Step 277 (dist=7.4mm): source: q_store, act_name: move_tangentially
Step 278 (dist=7.1mm): source: q_store, act_name: move_tangentially
Step 279 (dist=7.6mm): source: q_store, act_name: move_tangentially
Step 280 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 281 (dist=7.8mm): source: q_store, act_name: move_tangentially
Step 282 (dist=7.4mm): source: q_store, act_name: move_tangentially
Step 283 (dist=8.0mm): source: q_store, act_name: move_tangentially
Step 284 (dist=7.6mm): source: q_store, act_name: move_tangentially
Step 285 (dist=8.2mm): source: q_store, act_name: move_tangentially
Step 286 (dist=7.8mm): source: q_store, act_name: move_tangentially
Step 287 (dist=8.4mm): source: q_store, act_name: move_tangentially
Step 288 (dist=8.0mm): source: q_store, act_name: move_tangentially
Step 289 (dist=8.6mm): source: q_store, act_name: move_tangentially
Step 290 (dist=9.9mm): source: q_store, act_name: detach_edge
Step 291 (dist=70.7mm): source: q_store, act_name: free_forward
Step 292 (dist=65.2mm): source: q_store, act_name: free_forward
Step 293 (dist=60.3mm): source: q_store, act_name: free_forward
Step 294 (dist=56.1mm): source: q_store, act_name: free_forward
Step 295 (dist=52.7mm): source: q_store, act_name: free_forward
Step 296 (dist=50.4mm): source: q_store, act_name: turn_left_big
Step 297 (dist=50.4mm): source: q_store, act_name: free_forward
Step 298 (dist=49.1mm): source: q_store, act_name: turn_left_big
Step 299 (dist=49.1mm): source: q_store, act_name: look_down_big
Step 300 (dist=49.1mm): source: q_store, act_name: free_forward
Step 301 (dist=46.9mm): source: q_store, act_name: free_forward
Step 302 (dist=46.0mm): source: q_store, act_name: turn_left_big
Step 303 (dist=46.0mm): source: q_store, act_name: look_down_big
Step 304 (dist=46.0mm): source: q_store, act_name: free_forward
Step 305 (dist=44.3mm): source: q_store, act_name: turn_left_big
Step 306 (dist=44.3mm): source: q_store, act_name: turn_left_big
Step 307 (dist=44.3mm): source: q_store, act_name: look_down_big
Step 308 (dist=44.3mm): source: q_store, act_name: look_down_big
Step 309 (dist=44.3mm): source: q_store, act_name: free_forward
Step 310 (dist=39.4mm): source: q_store, act_name: look_down_big
Step 311 (dist=39.4mm): source: q_store, act_name: free_forward
Step 312 (dist=34.1mm): source: q_store, act_name: free_forward
Step 313 (dist=29.9mm): source: q_store, act_name: free_forward
Step 314 (dist=27.6mm): source: q_store, act_name: move_tangentially
Step 315 (dist=21.9mm): source: q_store, act_name: move_tangentially
Step 316 (dist=21.3mm): source: q_store, act_name: move_tangentially
Step 317 (dist=19.8mm): source: q_store, act_name: move_tangentially
Step 318 (dist=18.3mm): source: q_store, act_name: move_tangentially
Step 319 (dist=16.8mm): source: q_store, act_name: move_tangentially
Step 320 (dist=15.2mm): source: q_store, act_name: move_tangentially
Step 321 (dist=13.8mm): source: q_store, act_name: move_tangentially
Step 322 (dist=11.7mm): source: q_store, act_name: move_tangentially
Step 323 (dist=9.5mm): source: q_store, act_name: move_tangentially
Step 324 (dist=7.8mm): source: q_store, act_name: move_tangentially
Step 325 (dist=9.8mm): source: q_store, act_name: move_tangentially
Step 326 (dist=8.7mm): source: q_store, act_name: detach
Step 327 (dist=8.6mm): source: q_store, act_name: move_tangentially
Step 328 (dist=6.4mm): source: q_store, act_name: move_tangentially
Step 329 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 330 (dist=6.2mm): source: q_store, act_name: move_tangentially
Step 331 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 332 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 333 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 334 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 335 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 336 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 337 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 338 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 339 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 340 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 341 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 342 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 343 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 344 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 345 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 346 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 347 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 348 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 349 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 350 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 351 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 352 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 353 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 354 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 355 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 356 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 357 (dist=6.5mm): source: q_store, act_name: move_tangentially
Step 358 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 359 (dist=6.4mm): source: q_store, act_name: move_tangentially
Step 360 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 361 (dist=6.4mm): source: q_store, act_name: move_tangentially
Step 362 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 363 (dist=6.4mm): source: q_store, act_name: move_tangentially
Step 364 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 365 (dist=7.0mm): source: q_store, act_name: move_tangentially
Step 366 (dist=8.2mm): source: q_store, act_name: move_tangentially
Step 367 (dist=10.2mm): source: q_store, act_name: move_tangentially
Step 368 (dist=12.3mm): source: q_store, act_name: move_tangentially
Step 369 (dist=14.2mm): source: q_store, act_name: move_tangentially
Step 370 (dist=12.7mm): source: q_store, act_name: move_tangentially
Step 371 (dist=14.7mm): source: q_store, act_name: move_tangentially
Step 372 (dist=13.4mm): source: q_store, act_name: move_tangentially
Step 373 (dist=15.3mm): source: q_store, act_name: move_tangentially
